Composer,Name,Style,Trajectory Type,Kalz Centrality,Global Clustering,Square Clustering,Harmonic Centrality,Betweenness Centrality,Closeness Centrality,Tonnetz,Instruments,Number Of Instr,Tempo,Time Signature
monteverdi,madrigal.4.15,renaissance,Recursive Trajectory,0.16858674806022453,0.301063829787234,0.3502543573922013,14.442135642135634,0.11991584852734924,0.09211614644551827,"[3, 4, 5]","['P4: Tenor: ', 'P5: Basso: ', 'P1: Canto: ', 'P2: Quinto: ', 'P3: Alto: ']",5,[],"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
monteverdi,madrigal.4.15,renaissance,Recursive Trajectory,0.14806491151067247,0.049691358024691365,0.2927039124198188,11.788492063492058,0.044789278786810084,0.07611278314588943,"[2, 3, 7]",[],0,[],[<music21.meter.TimeSignature 4/4>]
monteverdi,madrigal.4.16,renaissance,Recursive Trajectory,0.09441801570212673,0.24727272727272726,0.3393352053513172,18.479046740186444,0.12489859423435473,0.022508469129520772,"[3, 4, 5]","['P4: Tenor: ', 'P2: Alto: ', 'P1: Canto: ', 'P5: Basso: ', 'P3: Quinto: ']",5,[],"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
monteverdi,madrigal.4.16,renaissance,Recursive Trajectory,0.11818992493322478,0.28997050147492626,0.37758120007305473,16.152380952380952,0.05285714285714286,0.0509347442680776,"[3, 4, 5]",[],0,[],[<music21.meter.TimeSignature 4/4>]
monteverdi,madrigal.4.17,renaissance,Recursive Trajectory,0.17102487085447915,0.26241134751773054,0.3680399674725719,14.37971195471195,0.12283777466105658,0.09640969564425005,"[3, 4, 5]","['P4: Tenor: ', 'P5: Basso: ', 'P1: Canto: ', 'P2: Quinto: ', 'P3: Alto: ']",5,[],"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
monteverdi,madrigal.4.17,renaissance,Recursive Trajectory,0.16917217427755607,0.2816326530612245,0.3652125348454639,17.500000000000004,0.12210051546391752,0.13972104305639782,"[3, 4, 5]",[],0,[],[<music21.meter.TimeSignature 4/4>]
monteverdi,madrigal.4.18,renaissance,Recursive Trajectory,0.1854499158224267,0.09078014184397162,0.27026959476671364,16.471428571428564,0.10998575213161466,0.12102493708533515,"[2, 3, 7]","['P4: Tenor: ', 'P5: Basso: ', 'P1: Canto: ', 'P2: Quinto: ', 'P3: Alto: ']",5,[],"[<music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>, <music21.meter.TimeSignature 4/4>]"
palestrina,Agnus,renaissance,Recursive Trajectory,0.1917316536631764,0.25495495495495496,0.33373137484907206,13.942460317460313,0.09956747707663377,0.11679884643114635,"[3, 4, 5]","['Bass', 'Alto', 'Soprano', 'Tenor']",4,[],"[<music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>]"
palestrina,Agnus_00,renaissance,Recursive Trajectory,0.143746405118474,0.2963541666666667,0.38700439556891,15.403236351935696,0.12673415823022122,0.06213115010723063,"[3, 4, 5]","['Bass', 'Alto', 'Soprano', 'Tenor']",4,[],"[<music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>]"
palestrina,Agnus_01,renaissance,Recursive Trajectory,0.1730790809408725,0.2753968253968254,0.31770511233424203,14.255952380952374,0.10711137231854247,0.10386160024714242,"[3, 4, 5]","['Bass', 'Alto', 'Soprano', 'Tenor']",4,[],"[<music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>, <music21.meter.TimeSignature 4/2>]"
